fb717fd4bfa83cd190a2a5626dab2dee55be3beb|2026-07-26 23:38:38 -0300|Ciamarro1|feat(ui): add interactive visual trade microstructure context overlay and enriched chart TP/SL annotations
77bab8c1d284e46b34a96a538c33ebe0c49c02af|2026-07-26 23:36:00 -0300|Ciamarro1|feat(quant-lab): implement Zero Entropy Quant Research Lab, Alpha Discovery, Market Snapshot, Anti-Overfitting Engine, 6-State Lifecycle, and Lyzer Mind Project MRI
cbc46f50cc12ac8f67d228843f2ed9133045e388|2026-07-26 22:35:01 -0300|Ciamarro1|docs: finalize APOS Master Constitution V4 with Idea Freeze, SHA256 family hashes, and Alpha Cemetery
781209fc1bbba4d1134524c34f8f82104fd32b10|2026-07-26 22:11:02 -0300|Ciamarro1|feat: add SVG eye toggle button to show/hide and 1-click reload plotted trades on chart
8c8cabd68ac47a214b40eb490e7b49426ef024ab|2026-07-26 22:06:34 -0300|Ciamarro1|style: add metric card gradient border and glow styling to bottom dock tab buttons
18c71ca5e865658c657c6c57b3dfa3e08023cfe3|2026-07-26 22:04:51 -0300|Ciamarro1|fix: remove COCKPIT alpha badge and unify topbar button styling with bottom dock buttons
87c722d43992406278c00b3db3563dd2c6dad148|2026-07-26 22:03:35 -0300|Ciamarro1|fix: isolate ah-toggle-btn class selector to stop mission delegation prompt from popping up on collapse
718d198db05ae1494b819a5188dcc31443245075|2026-07-26 21:57:04 -0300|Ciamarro1|fix: text-only logo, metric-card button styling, ban emojis, and isolate per-symbol trade plots without forced tab switching
2914b9b2315e0327c8d5e10099ac25d49ed5e105|2026-07-26 21:46:01 -0300|Ciamarro1|feat: auto-plot trades by default, add mute notifications toggle, move export trades button to Trade Log, add Court collapse/expand, and fix dynamic Asset Signal Leaderboard
17c22a61aff1815744835c07a0642a48a871960a|2026-07-26 21:37:56 -0300|Ciamarro1|feat: add collapse/expand toggle button for AgentHubWidget and left sidebar
